userName,content,score
qaulan,"metod pembayaran virtual account sedikit, harus memasukan informasi kartu jika mau menggunakan bank selain yang tersedia. agak sulit jika mau payment menggunakan rek org lain karna harus memasukan informasi kartu yg notabene nya itu privacy",2
Heru Heru,produk nya berkualitas dan sesuai,5
Ariel Harahap,"Zalora mengecewakan!!!!! Saya pilih Pengiriman same day Blitz, lebih dari 1 hari barang masih menunggu pick up, tanpa ada permintaan maaf dan konfirmasi apapun, komplain ke Virtual account Zalora sama sekali tidak membantu. Zalora harusnya peka terhadap komplain customer, kalau Virtual Assistant gak mampu jawab harus ada call center yang online 24 jam, bukannya mengandalkan Virtual Assistant, dan review kembali pihak pengantar barang(transporter) yang tidak kompeten !.",1
Gilang Rmdn,okee,5
King Kong,bagus,5
Siti Wahyuni,Barang ori no kaleng2... Okelahh,5
Robiatul adawiyah,nice,5
Heny Riyanti,Recommended Belanja,5
Meidio Junaidi,"cara pesan yg mudah, dan dengan harga murah",5
Muhammad RizkyFathoni,keren,5
sadam husen,barang ya bagus susai dgan nama ya,5
Kevin Kevin,mantap cepat respon,5
Udin Yudin,👍ok,5
Yondri,GOCENGAN GOCENGAN di tempat yg ........ Ml. Ml. M.. L.. L.... L. M. Ml.. L... Mmk. L. L. L.. M. M.. L.. Ml... L? L. Llmlllll Lll .l..lm.l.ll.l.l..llm.llll.mlllml LmL,1
Daken Octora,Semakin bertambah tahun koleksi produk zalora semakin sedikit koleksi nya tidak ada bertambah dan itu itu saja. Tidak menarik lagi untuk jadi pilihan belanja pakaian. Sangat kecewa & membosankan 🤡🤡🤡,1
kristi igir,💕 love,5
Angga Saputra,Mantaapp apk nya,5
Anton Vivo,mantap,5
Zulkarnain 75,zalora selalu jual produk asli 👍,4
catur heriprasetyo,luar biasa.. pelayanannya..kecepatannya,5
Auliya Auliya Febryan,"Aku ksih bintang lima, meskipun blom tau hasil nya tp semoga saja sesuai harapan ku amanah dan bertanggung jawab Semoga tidak kecewa",5
Novi Herawati,cuma disini saya mendapatkan produk produk yg ORI dan berkualitas premium dengan harga yang cocok dikantong anak kost.,5
Raja akmal mahzuz,online shol exsklusif,5
Sizuka Haneda,"Pengiriman sekarang lama , estimasi di pengiriman 2 hari tapi bisa sampai 4hr",3
Satria Widodo Simarmata,bagus amat,5
Putra Koteka,Satu bintang dulu karna pertama kali pakai damasih sering eror,1
Dadex Dony,Josss..mantapp,5
Edho Kimin,oker,4
d yuliant,"Beli sandal hush p, upper sama sekali tidak dilem, tidak ada bekas lem sama sekali, jadi terpisah antara upper dan sol, retur ditolak, yaaa nasibb",3
helmi ibrahim,"Dana di apk zalora e wallet saya ilang, TOLONG kasih tau gimana ini",3
Naga Bonar,fast respon..,5
Nebis Pratama,matap,5
Jhemy Malucues,sangat membantu,5
Maya Ani,oke bngt ..baru pertama dpt casback 50rb,5
Deden Denuhari,top,5
anto cabbi,ok,5
Ein Lein Ravemne,sangat menarik barang2 nya,5
Elia warpur,nice,5
kayana little minnie mouse,Banyak diskon & lumayan lengkap,5
tini prihatini,"Beberapa kali beli baju dan sepatu,sesuai ekspektasi..memuaskan padahal saya belinya passssti barang discount,mantap Zalora",5
Yoga Aditiya,Apakah produk di aplikasi ini produk original?,1
Keluarga Anabul,Produk² bagus namun tidak di dukung system customer service yg baik.,1
Sukma Gendis,good,4
NAdimbuganime 21,mantap,4
Darman Joyo,ok bgt,5
Inwanuddin,mantaps,5
Renaldy sutami Sutami,kereeeen,5
Titis Swastika,respon yg baik,5
Jonathan Yahya,. bagus,5
Foudji Lutfiantio,good,5
Floretta Ratna,Kwalitas terpercaya.. Pengiriman cepat..,5
Tempat Sandi,baguss😻😻,5
Faris Hr,Apk yg bagus Dan barang barang nya ori,5
Sirait Nela Nely,baru pertama coba ternyata aplikasinya mudah di gunakan,5
T Harsanto,barang ok banget sesuai display dan sangat membantu,5
Opik Jasad,fast respond,4
Titik Besty,Sayang sekali tidak bisa bayar ditempat COD,4
759_ Sam,Tolong dong kasih fitur untuk upload gambar setelah barang sampai supaya pembeli dapat melihat rekomendasi atau hasil produk yg mereka beli,4
Yoga Andyz77,Zalora sekarang kok suka logout sendiri eror knp nya,4
abimanyu pratama,sitibadriyah,1
Sigit Gunarto,Apilkasi untuk menedit foto porfil wsaahp,5
Angga Paramitha,"Pengembalian Dana, Status nya stagnan. Padahal produk retur sudah terkirim dan diterima oleh Zalora",1
Linda Hernawati,aman nyaman,5
Aurelia Anjar,Barangnya bagus....sesuai harga....pengiriman on time,5
Brandalan TV,mantap,5
Habibur Rahman,murah,5
Effendi Hasyim,nice,5
Hardiansyah Pp,mantul,5
Parti Nem,"Sebenarnya barang barang bagus tapi untuk harga rada membingungan karena ada 2 harga biasanya untuk yang diskon, yang satu pakai voucher dan tidak tahu cara mengklaimnya serta tidak dicantumkan cara mengeklaimnya jadi semisal mau co harganya menjadi beda.",3
WAHYUDIANSYAH (wahyu),good,5
Rival Istiawan,Overpriced dan minim promo.,1
Ta Kim,makin oke,5
Kharie Jafran,mantap Produk-nya ayooo ke Zalora,5
Muhamad Harun,bgus,5
Selfi Suttriani,bagus banget barang nya,5
Muhammad Nur arifin,Untuk harganya gak bisa di ubah jadi rupiah ya?,5
GLORIA MEWENGKANG,good,5
28 Theona Grace Suminar,keren,5
Chepy Suryana,terbaik,5
aras fatta,pertahankan produk 100% asli,5
MOVE Rizal,👌,5
rah ma,Good,5
Hendri Marsito,Barang sesuai deskripsi,5
Waldi Khair,mantap... memang mantap,3
Firda Amalia,kerennyaaaa,5
Anang Arista,Bagus,5
Kumpul Akun,Terpercaya,5
Pais Mutzz,Keren update discount nya,5
panji nugroho,Zalora belom pernah zonk,5
Radhits Yusti (Radhits),"Saya Member 2014 ,sekarang VIP member...fasilitasnya dan kwalitas produk gak ragu lagi original store Seller... Bahkan jadi agen zalora juga yang bisa dapat komisi tambahan dari belanja Zalora Id. Kenal Zalora tau branded",5
Daniel Silitonga,barangnya asli original,5
sri rizkiyani,mantap,5
Lea Haula,"Barang dipesen dr tgl 7 sampe tgl 21 blm ada kejelasan. Setiap hari dikomplain cuma bisa bilang ""ditunggu"" ""sabar"" ""mohon maaf"". Komplain kesekian kalinya barang blm juga jelas ada dimana, mau dijemput sendiri gaada respon yg jelas. Jelek banget customer servicenya. Ga pantes dpt rating bagus. Terlalu jelek bahkan bintang 1 ga cukup mendeskripsikan betapa jelek pelayanannya.",1
L H N Soe,Original barangnya !,5
jemmy gosal,Mantap,5
Lisa Chow,Kurang bagus karena terus²an terlogout sndrnya.,1
Awn,Ok,5
IrwanAfd,Sering sign out tutup aplikasi.. sebelum gak pernah,1
Agus Jack,"selektif & original produk terjamin layanan kesulitan,keluhan, complain customer lebih ditingkatkan",5
ranu cakranegara,good,5
Sholih Sagian allim,Bisa di ajak kerjasama,5
Andi Mulyani,sangat puas,5
Nalius Wakerkwa,"aplikasi penjualan ini sangat bagus ,terus tingkatkan pelayanan nya",5
Dwi Kurniawan,Sekarang respon lambat. Pengiriman lemot. Apa udah ga niat jualan?,1
Feby permana Saputra,murah daripada kat store banyak voucher n sale,5
Muhammad Ebby Ghaiel,"E commers sampah, belagak eksklusif aslinya bobrok.",1
dhiedhoyz Oktavian,buuut,5
nesya rahma,gmna sih cara nya pengembalian dana dari e wallet di pindah ke bank bri? bingung bgtt😭😭 susah,2
Imam Munirudin,oke,5
Mahfud ismail,rekomend bgt😍😍,5
Ervin_ Vin,bagus,5
sri widodo,"Pesan ndak ribet, pesan sesuai merk yg di kehendaki.thanks",5
